Job Title,Company,Industry,City,Experience,Employment Type,Work Mode,Company Email,Description,Posted Date
Quality Analyst,Apollo Hospitals,Manufacturing,Bengaluru,Fresher,Internship,On-site,careers@apollohospitals.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-12
Site Supervisor,Apollo Hospitals,Logistics,Pune,Fresher,Contract,Remote,careers@apollohospitals.com,Monitor project progress and report to management. Ensure safety standards and material quality. Supervise construction activities at the site. Coordinate with engineers and contractors.,2025-12-07
Sales Manager,Wipro,IT Services,Pune,Fresher,Full Time,Hybrid,careers@wipro.com,Develop sales strategies and manage client relationships. Analyze market trends and customer needs. Prepare sales reports and presentations for management. Negotiate contracts and maintain customer satisfaction.,2025-11-26
Mechanical Engineer,Byju's,Retail,Chennai,0-1 Years,Internship,Remote,careers@byju's.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2026-01-02
Civil Engineer,Tata Group,Healthcare,Nagpur,0-1 Years,Full Time,On-site,careers@tatagroup.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2025-12-10
Supply Chain Analyst,Amazon India,Logistics,Nagpur,5+ Years,Contract,Remote,careers@amazonindia.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2026-01-10
Quality Analyst,Mahindra & Mahindra,Construction,Bhopal,5+ Years,Full Time,On-site,careers@mahindra&mahindra.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-12-31
Marketing Executive,Apollo Hospitals,IT Services,Noida,1-3 Years,Contract,Hybrid,careers@apollohospitals.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2026-01-01
Loan Officer,Byju's,Banking & Finance,Noida,5+ Years,Part Time,Hybrid,careers@byju's.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2026-01-07
Graphic Designer,Mahindra & Mahindra,Banking & Finance,Gurgaon,3-5 Years,Internship,On-site,careers@mahindra&mahindra.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-11-27
Customer Support Executive,Reliance Industries,Education,Bengaluru,Fresher,Full Time,On-site,careers@relianceindustries.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2025-11-21
Content Writer,HDFC Bank,Construction,Bengaluru,5+ Years,Contract,Remote,careers@hdfcbank.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2026-01-17
Graphic Designer,Swiggy,Marketing & Advertising,Indore,0-1 Years,Part Time,On-site,careers@swiggy.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-12-23
Production Supervisor,Amazon India,Retail,Chennai,Fresher,Full Time,Remote,careers@amazonindia.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2026-01-18
Digital Marketing Executive,L&T,Healthcare,Delhi,Fresher,Full Time,Hybrid,careers@l&t.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2025-12-23
Production Supervisor,ICICI Bank,Marketing & Advertising,Nagpur,Fresher,Part Time,Hybrid,careers@icicibank.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2026-01-16
Marketing Executive,Byju's,Education,Bengaluru,5+ Years,Internship,On-site,careers@byju's.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2026-01-12
Interior Designer,Zomato,Logistics,Ahmedabad,3-5 Years,Part Time,Hybrid,careers@zomato.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-12-20
Civil Engineer,Amazon India,Logistics,Chennai,Fresher,Part Time,On-site,careers@amazonindia.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2025-12-15
Quality Analyst,Tata Group,Logistics,Patna,5+ Years,Contract,Remote,careers@tatagroup.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2026-01-04
Software Engineer,Wipro,IT Services,Hyderabad,Fresher,Internship,Hybrid,careers@wipro.com,"Participate in code reviews and improve development standards. Debug, test, and optimize code for high performance. Design, develop, and maintain scalable software applications. Write technical documentation and ensure proper version control.",2025-12-21
Hospital Administrator,Tata Group,Construction,Kolkata,5+ Years,Full Time,Hybrid,careers@tatagroup.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2025-12-12
Production Supervisor,L&T,Retail,Hyderabad,Fresher,Part Time,On-site,careers@l&t.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-12-03
Civil Engineer,Flipkart,Education,Bengaluru,0-1 Years,Internship,Remote,careers@flipkart.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2026-01-18
Hospital Administrator,Wipro,IT Services,Patna,0-1 Years,Contract,Hybrid,careers@wipro.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2026-01-02
Quality Analyst,Wipro,Banking & Finance,Indore,Fresher,Internship,On-site,careers@wipro.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2026-01-07
Data Analyst,Swiggy,Logistics,Jaipur,5+ Years,Internship,Remote,careers@swiggy.com,Ensure data accuracy and maintain database integrity. Work with stakeholders to understand data requirements. Create dashboards and reports to support business decisions. Implement data cleaning and transformation pipelines.,2025-12-07
Bank Clerk,Flipkart,Construction,Noida,Fresher,Part Time,Hybrid,careers@flipkart.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2026-01-18
Accountant,Reliance Industries,IT Services,Pune,5+ Years,Full Time,Hybrid,careers@relianceindustries.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-12-21
Warehouse Manager,Zomato,Marketing & Advertising,Chennai,3-5 Years,Internship,On-site,careers@zomato.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2025-12-24
Electrical Technician,Infosys,Manufacturing,Nagpur,1-3 Years,Part Time,Remote,careers@infosys.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2025-11-24
Staff Nurse,Tata Group,Construction,Gurgaon,Fresher,Internship,On-site,careers@tatagroup.com,Assist in emergency situations and routine checkups. Maintain medical records and ensure hygiene standards. Provide patient care and assist doctors in clinical procedures. Monitor patient vitals and administer medications.,2025-12-19
Assistant Professor,Swiggy,Education,Indore,3-5 Years,Part Time,On-site,careers@swiggy.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-12-27
Software Engineer,Tata Group,Education,Patna,Fresher,Part Time,On-site,careers@tatagroup.com,"Participate in code reviews and improve development standards. Collaborate with cross-functional teams to implement new features. Debug, test, and optimize code for high performance. Design, develop, and maintain scalable software applications.",2025-12-28
Digital Marketing Executive,Tata Group,Manufacturing,Bhopal,Fresher,Part Time,Remote,careers@tatagroup.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2025-12-03
Loan Officer,L&T,Marketing & Advertising,Bengaluru,3-5 Years,Part Time,Remote,careers@l&t.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2025-11-24
HR Executive,Swiggy,Manufacturing,Lucknow,5+ Years,Full Time,On-site,careers@swiggy.com,"Maintain records of employee attendance and leave. Coordinate HR policies, payroll support, and compliance. Support training and development initiatives. Manage recruitment, onboarding, and employee documentation.",2025-11-28
Hospital Administrator,ICICI Bank,Banking & Finance,Delhi,0-1 Years,Internship,Remote,careers@icicibank.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-23
HR Executive,Reliance Industries,IT Services,Chennai,3-5 Years,Part Time,Remote,careers@relianceindustries.com,"Support training and development initiatives. Coordinate HR policies, payroll support, and compliance. Assist in employee engagement and performance management. Maintain records of employee attendance and leave.",2025-11-23
Interior Designer,L&T,Marketing & Advertising,Nagpur,Fresher,Contract,Remote,careers@l&t.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-12-31
Graphic Designer,Mahindra & Mahindra,Education,Mumbai,1-3 Years,Contract,On-site,careers@mahindra&mahindra.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2026-01-03
Sales Manager,Wipro,Retail,Patna,0-1 Years,Part Time,Remote,careers@wipro.com,Develop sales strategies and manage client relationships. Achieve monthly targets and lead the sales team. Analyze market trends and customer needs. Prepare sales reports and presentations for management.,2025-12-06
Content Writer,HDFC Bank,Healthcare,Jaipur,1-3 Years,Contract,Hybrid,careers@hdfcbank.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-12-28
HR Executive,Wipro,Banking & Finance,Delhi,3-5 Years,Part Time,Remote,careers@wipro.com,"Maintain records of employee attendance and leave. Assist in employee engagement and performance management. Coordinate HR policies, payroll support, and compliance. Support training and development initiatives.",2025-12-26
Data Analyst,Tata Group,Marketing & Advertising,Ahmedabad,0-1 Years,Contract,Hybrid,careers@tatagroup.com,Ensure data accuracy and maintain database integrity. Work with stakeholders to understand data requirements. Create dashboards and reports to support business decisions. Implement data cleaning and transformation pipelines.,2026-01-12
Content Writer,Tata Group,Marketing & Advertising,Lucknow,Fresher,Internship,Hybrid,careers@tatagroup.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2025-12-01
Project Coordinator,Tata Group,Marketing & Advertising,Nagpur,Fresher,Contract,Remote,careers@tatagroup.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2026-01-03
Operations Executive,HDFC Bank,Education,Patna,3-5 Years,Part Time,Remote,careers@hdfcbank.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2025-12-01
Bank Clerk,Mahindra & Mahindra,Retail,Hyderabad,3-5 Years,Part Time,Remote,careers@mahindra&mahindra.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-11-26
Civil Engineer,Infosys,IT Services,Pune,3-5 Years,Contract,Remote,careers@infosys.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-12-13
Quality Analyst,Byju's,Retail,Jaipur,0-1 Years,Internship,Hybrid,careers@byju's.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2025-12-11
Electrical Technician,Apollo Hospitals,Education,Pune,3-5 Years,Part Time,On-site,careers@apollohospitals.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2026-01-05
Data Analyst,HDFC Bank,Healthcare,Patna,3-5 Years,Internship,Remote,careers@hdfcbank.com,Work with stakeholders to understand data requirements. Implement data cleaning and transformation pipelines. Ensure data accuracy and maintain database integrity. Analyze large datasets to extract actionable insights.,2026-01-07
Graphic Designer,Infosys,Education,Ahmedabad,1-3 Years,Contract,On-site,careers@infosys.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2025-12-23
Site Supervisor,L&T,Manufacturing,Nagpur,1-3 Years,Internship,Remote,careers@l&t.com,Ensure safety standards and material quality. Coordinate with engineers and contractors. Schedule labor and resources efficiently to meet deadlines. Supervise construction activities at the site.,2025-11-22
Sales Manager,ICICI Bank,Logistics,Bhopal,3-5 Years,Internship,On-site,careers@icicibank.com,Prepare sales reports and presentations for management. Develop sales strategies and manage client relationships. Negotiate contracts and maintain customer satisfaction. Achieve monthly targets and lead the sales team.,2025-12-03
Loan Officer,Amazon India,Manufacturing,Kolkata,0-1 Years,Full Time,On-site,careers@amazonindia.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2026-01-20
Digital Marketing Executive,Apollo Hospitals,Healthcare,Patna,3-5 Years,Full Time,On-site,careers@apollohospitals.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-10
Sales Manager,Byju's,Construction,Bhopal,1-3 Years,Part Time,Hybrid,careers@byju's.com,Negotiate contracts and maintain customer satisfaction. Prepare sales reports and presentations for management. Develop sales strategies and manage client relationships. Achieve monthly targets and lead the sales team.,2025-12-29
Project Coordinator,Mahindra & Mahindra,IT Services,Hyderabad,1-3 Years,Internship,Hybrid,careers@mahindra&mahindra.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-11-22
Marketing Executive,Reliance Industries,Manufacturing,Noida,0-1 Years,Internship,Hybrid,careers@relianceindustries.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2026-01-04
Electrical Technician,Swiggy,Healthcare,Nagpur,3-5 Years,Internship,On-site,careers@swiggy.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2025-11-25
Mechanical Engineer,Tata Group,Healthcare,Lucknow,Fresher,Full Time,On-site,careers@tatagroup.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-12-18
Bank Clerk,Apollo Hospitals,Banking & Finance,Gurgaon,Fresher,Contract,Hybrid,careers@apollohospitals.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2026-01-04
Hospital Administrator,Reliance Industries,Healthcare,Bhopal,0-1 Years,Contract,Remote,careers@relianceindustries.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2026-01-13
UI/UX Designer,Amazon India,Healthcare,Lucknow,0-1 Years,Contract,On-site,careers@amazonindia.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2026-01-06
Sales Manager,Amazon India,Construction,Indore,0-1 Years,Full Time,Remote,careers@amazonindia.com,Analyze market trends and customer needs. Prepare sales reports and presentations for management. Negotiate contracts and maintain customer satisfaction. Achieve monthly targets and lead the sales team.,2026-01-10
Loan Officer,Flipkart,IT Services,Bengaluru,1-3 Years,Internship,On-site,careers@flipkart.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-11-28
Electrical Technician,Adani Group,Banking & Finance,Hyderabad,Fresher,Full Time,On-site,careers@adanigroup.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2026-01-01
Hospital Administrator,Zomato,Marketing & Advertising,Hyderabad,5+ Years,Part Time,On-site,careers@zomato.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2025-12-17
Content Writer,ICICI Bank,Manufacturing,Kolkata,5+ Years,Internship,Remote,careers@icicibank.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2025-12-31
Software Engineer,ICICI Bank,Construction,Chennai,0-1 Years,Internship,Remote,careers@icicibank.com,"Debug, test, and optimize code for high performance. Design, develop, and maintain scalable software applications. Collaborate with cross-functional teams to implement new features. Write technical documentation and ensure proper version control.",2025-12-10
Teacher,Apollo Hospitals,Education,Mumbai,1-3 Years,Internship,On-site,careers@apollohospitals.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2025-11-28
HR Executive,HDFC Bank,IT Services,Chennai,3-5 Years,Internship,Remote,careers@hdfcbank.com,"Maintain records of employee attendance and leave. Support training and development initiatives. Coordinate HR policies, payroll support, and compliance. Assist in employee engagement and performance management.",2025-12-27
Software Engineer,Infosys,Construction,Chennai,1-3 Years,Internship,On-site,careers@infosys.com,"Debug, test, and optimize code for high performance. Collaborate with cross-functional teams to implement new features. Participate in code reviews and improve development standards. Write technical documentation and ensure proper version control.",2026-01-14
Operations Executive,Flipkart,Retail,Bengaluru,3-5 Years,Full Time,Remote,careers@flipkart.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-11-29
Assistant Professor,Flipkart,Marketing & Advertising,Mumbai,5+ Years,Full Time,Remote,careers@flipkart.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2025-12-26
Project Coordinator,Amazon India,Banking & Finance,Bengaluru,0-1 Years,Internship,Hybrid,careers@amazonindia.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2026-01-20
Supply Chain Analyst,Mahindra & Mahindra,Banking & Finance,Patna,Fresher,Contract,Remote,careers@mahindra&mahindra.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-07
Customer Support Executive,Wipro,IT Services,Bengaluru,3-5 Years,Internship,On-site,careers@wipro.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2026-01-08
Digital Marketing Executive,Swiggy,Retail,Bhopal,1-3 Years,Part Time,Remote,careers@swiggy.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2025-12-16
Site Supervisor,ICICI Bank,Retail,Nagpur,0-1 Years,Internship,Remote,careers@icicibank.com,Ensure safety standards and material quality. Schedule labor and resources efficiently to meet deadlines. Monitor project progress and report to management. Supervise construction activities at the site.,2025-12-13
Staff Nurse,Mahindra & Mahindra,Healthcare,Gurgaon,5+ Years,Contract,On-site,careers@mahindra&mahindra.com,Assist in emergency situations and routine checkups. Communicate with patients and families about treatment plans. Monitor patient vitals and administer medications. Maintain medical records and ensure hygiene standards.,2025-12-06
Bank Clerk,Infosys,Healthcare,Pune,1-3 Years,Part Time,Remote,careers@infosys.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-11-23
Software Engineer,Wipro,IT Services,Jaipur,Fresher,Part Time,Hybrid,careers@wipro.com,"Participate in code reviews and improve development standards. Write technical documentation and ensure proper version control. Debug, test, and optimize code for high performance. Collaborate with cross-functional teams to implement new features.",2025-12-15
Warehouse Manager,HDFC Bank,Retail,Bengaluru,Fresher,Full Time,Remote,careers@hdfcbank.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2026-01-06
UI/UX Designer,Zomato,IT Services,Bengaluru,3-5 Years,Internship,Remote,careers@zomato.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2026-01-13
Interior Designer,Adani Group,Healthcare,Chennai,3-5 Years,Full Time,Hybrid,careers@adanigroup.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2025-12-12
Customer Support Executive,Reliance Industries,IT Services,Indore,1-3 Years,Contract,Remote,careers@relianceindustries.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2025-12-15
Site Supervisor,Zomato,Retail,Delhi,5+ Years,Part Time,Remote,careers@zomato.com,Supervise construction activities at the site. Ensure safety standards and material quality. Schedule labor and resources efficiently to meet deadlines. Coordinate with engineers and contractors.,2026-01-04
Loan Officer,L&T,Marketing & Advertising,Gurgaon,Fresher,Part Time,Remote,careers@l&t.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-04
Assistant Professor,Byju's,Retail,Patna,Fresher,Full Time,Remote,careers@byju's.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2025-12-01
Warehouse Manager,HDFC Bank,Retail,Hyderabad,1-3 Years,Internship,Hybrid,careers@hdfcbank.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2026-01-18
Project Coordinator,HDFC Bank,Marketing & Advertising,Bengaluru,Fresher,Full Time,Remote,careers@hdfcbank.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2025-12-02
Bank Clerk,Reliance Industries,Banking & Finance,Noida,Fresher,Contract,On-site,careers@relianceindustries.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2026-01-03
Staff Nurse,Infosys,Marketing & Advertising,Bengaluru,0-1 Years,Part Time,On-site,careers@infosys.com,Maintain medical records and ensure hygiene standards. Provide patient care and assist doctors in clinical procedures. Assist in emergency situations and routine checkups. Monitor patient vitals and administer medications.,2025-12-06
Software Engineer,ICICI Bank,Healthcare,Bhopal,3-5 Years,Part Time,Hybrid,careers@icicibank.com,"Write technical documentation and ensure proper version control. Debug, test, and optimize code for high performance. Participate in code reviews and improve development standards. Collaborate with cross-functional teams to implement new features.",2025-12-04
Warehouse Manager,Zomato,IT Services,Chennai,0-1 Years,Contract,On-site,careers@zomato.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2025-11-21
Accountant,Wipro,Construction,Kolkata,Fresher,Part Time,Hybrid,careers@wipro.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2025-12-03
Operations Executive,Apollo Hospitals,Retail,Hyderabad,1-3 Years,Internship,Hybrid,careers@apollohospitals.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2026-01-12
Interior Designer,Infosys,Retail,Gurgaon,5+ Years,Internship,Remote,careers@infosys.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2025-11-22
Accountant,Byju's,Marketing & Advertising,Jaipur,1-3 Years,Contract,On-site,careers@byju's.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2026-01-13
Civil Engineer,L&T,Manufacturing,Delhi,0-1 Years,Contract,Remote,careers@l&t.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2025-12-26
Customer Support Executive,Swiggy,Manufacturing,Patna,0-1 Years,Full Time,Hybrid,careers@swiggy.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2026-01-06
Teacher,L&T,Manufacturing,Pune,Fresher,Contract,Remote,careers@l&t.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2025-11-22
Software Engineer,Reliance Industries,Manufacturing,Delhi,3-5 Years,Full Time,On-site,careers@relianceindustries.com,"Participate in code reviews and improve development standards. Write technical documentation and ensure proper version control. Debug, test, and optimize code for high performance. Collaborate with cross-functional teams to implement new features.",2026-01-13
UI/UX Designer,Flipkart,IT Services,Patna,3-5 Years,Contract,On-site,careers@flipkart.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2026-01-09
Sales Manager,Byju's,Manufacturing,Pune,5+ Years,Full Time,On-site,careers@byju's.com,Negotiate contracts and maintain customer satisfaction. Analyze market trends and customer needs. Prepare sales reports and presentations for management. Develop sales strategies and manage client relationships.,2025-11-22
Bank Clerk,Swiggy,Banking & Finance,Patna,Fresher,Full Time,Hybrid,careers@swiggy.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2025-12-05
Digital Marketing Executive,Amazon India,Banking & Finance,Pune,Fresher,Full Time,Remote,careers@amazonindia.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-18
Accountant,Infosys,IT Services,Ahmedabad,3-5 Years,Contract,Remote,careers@infosys.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-12-05
